,Link,Title,Company,Location,Salary,Days
0,,,,,,
438,https://in.indeed.com/company/prwatech-technologies/jobs/Data-Analyst-1439504dcd400b3d?fccid=0813ccde346809b2&vjs=3,Data Analyst,prwatech technologies,"Bengaluru, Karnataka","From ₹20,000 a month",EmployerActive 1 day ago
609,https://in.indeed.com/company/GUMA-TECH-MARINE-SERVICES/jobs/Data-Analyst-2430887837d6a6b5?fccid=7918c96bffd9b419&vjs=3,Data Analyst,GUMA TECH MARINE SERVICES,"Mumbai, Maharashtra","From ₹20,000 a month",EmployerActive 3 days ago
968,https://in.indeed.com/company/GUMA-TECH-MARINE-SERVICES/jobs/Data-Analyst-2430887837d6a6b5?fccid=7918c96bffd9b419&vjs=3,Data Analyst,GUMA TECH MARINE SERVICES,"Mumbai, Maharashtra","From ₹20,000 a month",EmployerActive 3 days ago
287,https://in.indeed.com/company/Kunika-Chawla/jobs/Data-Analyst-e64b77a22f14ce69?fccid=2c05e84963adf702&vjs=3,Data Analyst,Dynatech Systems Pvt. Ltd.,"Remote in Ahmedabad, Gujarat","From ₹5,00,000 a year",EmployerActive 3 days ago
47,https://in.indeed.com/company/Incore-Business-Solutions/jobs/Policy-Analyst-a076d58bd3aa30f0?fccid=15d154e765d37bab&vjs=3,Policy Analyst,Incore Business Solutions,"Delhi, Delhi","From ₹60,000 a month",EmployerActive 2 days ago
310,https://in.indeed.com/rc/clk?jk=30dd421f32c22097&fccid=9212313a33a61096&vjs=3,Data Analyst,Dronebase,"Bengaluru, Karnataka",N/A,EmployerActive 17 days ago
399,https://in.indeed.com/company/Kredent-InfoEdge-Pvt.Ltd./jobs/Data-Analyst-81bdb9e1f8c4eaac?fccid=504f2a6119107983&vjs=3,Data Analyst,Kredent InfoEdge Pvt.Ltd.,"Kolkata, West Bengal",N/A,EmployerActive 2 days ago
598,https://in.indeed.com/rc/clk?jk=3d4ba79fbde9a191&fccid=8d0722d3f1da24df&vjs=3,Business Analyst,Jumbotail,"Bengaluru, Karnataka",N/A,EmployerActive 12 days ago
734,https://in.indeed.com/rc/clk?jk=128d923324dec8ee&fccid=8d0722d3f1da24df&vjs=3,Analyst - Decision Science,Jumbotail,"Bengaluru, Karnataka",N/A,EmployerActive 2 days ago
912,https://in.indeed.com/company/GLG-Associates/jobs/Data-Analyst-613f0c740365fec9?fccid=0cdc8755322f17ba&vjs=3,Data Analyst,GLG Associates,"Kochi, Kerala",N/A,EmployerActive 2 days ago
919,https://in.indeed.com/company/Raising-Superstars/jobs/Data-Analyst-b44266b249f5032d?fccid=899a0383c4a0dc4a&vjs=3,Data Analyst,Raising Superstars,"Santacruz, Maharashtra",N/A,EmployerActive 5 days ago
337,https://in.indeed.com/rc/clk?cmp=%E0%AE%86%E0%AE%A9%E0%AE%A8%E0%AF%8D%E0%AE%A4%E0%AE%AE%E0%AF%8D-%E0%AE%B2%E0%AF%87%E0%AE%9F%E0%AF%80%E0%AE%B8%E0%AF%8D-%E0%AE%85%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AF%8B%E0%AE%AE%E0%AF%8B%E0%AE%9F%E0%AF%87%E0%AE%B7%E0%AE%A9%E0%AF%8D&ti=&jk=6abf92ee4ec6b1db&fccid=726766f3de94ff69&vjs=3,Market Research Analyst,Ionixx Technologies Private LTD,"Remote in Chennai, Tamil Nadu","Up to ₹10,00,000 a year",EmployerActive 2 days ago
887,https://in.indeed.com/company/Final-Step-Solutions/jobs/Business-Analyst-5740ab9ea9a0dd35?fccid=8325898758be7610&vjs=3,Business Analyst,Final Step Solutions,"Remote in Bengaluru, Karnataka","Up to ₹10,00,000 a year",EmployerActive 6 days ago
55,https://in.indeed.com/company/STATXO-ANALYTICS-PVT.-LTD./jobs/Senior-Data-Analyst-7ece7efbb7f0fb62?fccid=0cf30ff8c0a5fc8e&vjs=3,Senior Data Analyst,STATXO ANALYTICS PVT. LTD.,"Remote in Gurgaon, Haryana","Up to ₹12,00,000 a year",EmployerActive 1 day ago
246,https://in.indeed.com/company/Evalueserve/jobs/Pricing-Analytic-6e5e72904e9f5103?fccid=e47b99270f9cbc59&vjs=3,Looking for Pricing Analytics(Quantitative Conjoint Analysis Professionals),Evalueserve,"Gurgaon, Haryana","Up to ₹17,00,000 a year",EmployerActive 1 day ago
269,https://in.indeed.com/company/Evalueserve/jobs/Pricing-Analytic-6e5e72904e9f5103?fccid=e47b99270f9cbc59&vjs=3,Looking for Pricing Analytics(Quantitative Conjoint Analysis Professionals),Evalueserve,"Gurgaon, Haryana","Up to ₹17,00,000 a year",EmployerActive 1 day ago
314,https://in.indeed.com/company/Scaler/jobs/Business-Analyst-3e36778571d1c095?fccid=3ee1fe45c325cbb5&vjs=3,Business Analyst,Scaler,"Remote in Bengaluru, Karnataka","Up to ₹18,00,000 a year",EmployerActive 3 days ago
666,https://in.indeed.com/company/Epi-Center-Technologies-Pvt-ltd/jobs/Data-Analyst-71fd61bedf821fff?fccid=f8d8275bfc1f4e7f&vjs=3,Data Analyst,Epi Center Technologies Pvt Ltd,"Mumbai, Maharashtra","Up to ₹20,00,000 a year",EmployerActive 1 day ago
886,https://in.indeed.com/company/Epi-Center-Technologies-Pvt-ltd/jobs/Data-Analyst-71fd61bedf821fff?fccid=f8d8275bfc1f4e7f&vjs=3,Data Analyst,Epi Center Technologies Pvt Ltd,"Mumbai, Maharashtra","Up to ₹20,00,000 a year",EmployerActive 1 day ago
81,https://in.indeed.com/company/Ready2help/jobs/Data-Analyst-cfcfed906cd2e5c9?fccid=23fd672f6b9f2135&vjs=3,Data Analyst,Ready2help,"Gurgaon, Haryana","Up to ₹28,000 a month",EmployerActive 1 day ago
396,https://in.indeed.com/company/Boketto-Restaurant-&-Cafe/jobs/Data-Analyst-9a33a32287825629?fccid=e7f3a0ead6b2374d&vjs=3,Data Analyst,Ethics Empire,"Surat, Gujarat","Up to ₹30,000 a month",EmployerActive 5 days ago
783,https://in.indeed.com/company/Bifold-Dynamix/jobs/Data-Project-Analyst-1211dd7698c0ff31?fccid=4f79f5f6e6439b14&vjs=3,Data Projects Analyst,Bifold Dynamix,"Chennai, Tamil Nadu","Up to ₹4,50,000 a year",EmployerActive 9 days ago
860,https://in.indeed.com/company/ATeam-Soft-Solutions-Pvt-Ltd/jobs/Business-Analyst-80f8e9bebd5c75a6?fccid=d3c26c9bbe4a1728&vjs=3,Business Analyst,ATeam Soft Solutions Pvt Ltd,"Remote in Thiruvananthapuram, Kerala","Up to ₹40,000 a month",EmployerActive 2 days ago
